,5_n,5_p,5_l,6_n,6_p,6_l
10973,MAP1A,0.9598629643230848,-0.79324335,MAP1A,0.9598629643230848,0.79324335
10974,STAB1,0.9598629643230848,-0.99967927,STAB1,0.9598629643230848,0.99967927
10975,GABRB2,0.9598629643230848,-1.1401612,GABRB2,0.9598629643230848,1.1401612
10976,AMPD3,0.9598629643230848,-0.936385,AMPD3,0.9598629643230848,0.936385
10977,SNED1,0.9598629643230848,-0.5110062,SNED1,0.9598629643230848,0.5110062
10978,GCNT4,0.9598629643230848,-0.74317807,GCNT4,0.9598629643230848,0.74317807
10979,OVOL3,0.9598629643230848,-1.111493,OVOL3,0.9598629643230848,1.111493
10980,CADPS,0.9598629643230848,-0.8604539,CADPS,0.9598629643230848,0.8604539
10981,CDC20,0.959933755589122,1.0394503,CDC20,0.959933755589122,-1.0394503
10982,SENP2,0.959969151340649,-0.3714264,SENP2,0.959969151340649,0.3714264
10983,VEGFA,0.959969151340649,-0.04847293,VEGFA,0.959969151340649,0.04847293
10984,ZSWIM6,0.9600399430803718,-0.4682838,ZSWIM6,0.9600399430803718,0.4682838
10985,RABL2B,0.9600399430803718,-0.28404304,RABL2B,0.9600399430803718,0.28404304
10986,EFNA4,0.9600753390684281,-0.10244935,EFNA4,0.9600753390684281,0.10244935
10987,DHRS11,0.9601107351351883,-0.22136189,DHRS11,0.9601107351351883,0.22136189
10988,ERVK3-1,0.9601107351351883,-0.092950344,ERVK3-1,0.9601107351351883,0.092950344
10989,TFAM,0.9601107351351883,-0.16850796,TFAM,0.9601107351351883,0.16850796
10990,SCCPDH,0.9601815275045414,-0.4017977,SCCPDH,0.9601815275045414,0.4017977
10991,ZNF326,0.960287716647108,-0.24758439,ZNF326,0.960287716647108,0.24758439
10992,EPB41,0.960393906494247,-0.24374726,EPB41,0.960393906494247,0.24374726
10993,SCAF1,0.9604647001161732,-0.1785898,SCAF1,0.9604647001161732,0.1785898
10994,OMA1,0.9606062882947186,-0.02167316,OMA1,0.9606062882947186,0.02167316
10995,NBPF9,0.9607478777158055,0.73971874,NBPF9,0.9607478777158055,-0.73971874
10996,ZNF215,0.9608186728909086,-0.17487071,ZNF215,0.9608186728909086,0.17487071
10997,ZNF585A,0.9608186728909086,0.8741883,ZNF585A,0.9608186728909086,-0.8741883
10998,KLRD1,0.9608186728909086,1.057766,KLRD1,0.9608186728909086,-1.057766
10999,ZNF273,0.9608186728909086,0.528103,ZNF273,0.9608186728909086,-0.528103
11000,C22ORF39,0.9608540705943563,-0.029461632,C22ORF39,0.9608540705943563,0.029461632
11001,MRM1,0.9608894683749751,0.7719266,MRM1,0.9608894683749751,-0.7719266
11002,ATXN3,0.9608894683749751,-0.19180508,ATXN3,0.9608894683749751,0.19180508
11003,KCNH2,0.9608894683749751,0.81054467,KCNH2,0.9608894683749751,-0.81054467
11004,ERI2,0.9608894683749751,0.5950945,ERI2,0.9608894683749751,-0.5950945
11005,MCM2,0.9608894683749751,0.7874771,MCM2,0.9608894683749751,-0.7874771
11006,ZNF749,0.9609602641674476,0.53889817,ZNF749,0.9609602641674476,-0.53889817
11007,PRMT9,0.9609956621791619,-0.073843844,PRMT9,0.9609956621791619,0.073843844
11008,PCDH9,0.9610310602677686,0.5049763,PCDH9,0.9610310602677686,-0.5049763
11009,CLK2,0.9610310602677686,-0.17891142,CLK2,0.9610310602677686,0.17891142
11010,MROH6,0.9610310602677686,0.41431803,MROH6,0.9610310602677686,-0.41431803
11011,HHAT,0.9610310602677686,0.4003558,HHAT,0.9610310602677686,-0.4003558
11012,CADM4,0.9610310602677686,0.6170252,CADM4,0.9610310602677686,-0.6170252
11013,SLC12A4,0.9610664584331983,-0.17645766,SLC12A4,0.9610664584331983,0.17645766
11014,CHTF18,0.961101856675381,0.690181,CHTF18,0.961101856675381,-0.690181
11015,POLD1,0.961101856675381,0.5777559,POLD1,0.961101856675381,-0.5777559
11016,CDC14B,0.9611726533897271,0.09402133,CDC14B,0.9611726533897271,-0.09402133
11017,C9ORF24,0.9611726533897271,0.37437716,C9ORF24,0.9611726533897271,-0.37437716
11018,CNTNAP2,0.9611726533897271,0.22164725,CNTNAP2,0.9611726533897271,-0.22164725
11019,SH3BP1,0.9612434504102498,0.024873247,SH3BP1,0.9612434504102498,-0.024873247
11020,MMP23B,0.9612434504102498,0.35249346,MMP23B,0.9612434504102498,-0.35249346
11021,NEK2,0.9612434504102498,0.3250924,NEK2,0.9612434504102498,-0.3250924
11022,CBLN3,0.9612434504102498,0.6188563,CBLN3,0.9612434504102498,-0.6188563
11023,CLCN6,0.9612788490351531,0.24552238,CLCN6,0.9612788490351531,-0.24552238
11024,CACNB4,0.9613142477363916,0.09380637,CACNB4,0.9613142477363916,-0.09380637
11025,PTAFR,0.961385045367595,0.508425,PTAFR,0.961385045367595,-0.508425
11026,LINC00526,0.961385045367595,0.7737504,LINC00526,0.961385045367595,-0.7737504
11027,SUCLA2,0.961385045367595,-0.33633137,SUCLA2,0.961385045367595,0.33633137
11028,BTN1A1,0.961385045367595,0.09733921,BTN1A1,0.961385045367595,-0.09733921
11029,AEBP1,0.961385045367595,0.421629,AEBP1,0.961385045367595,-0.421629
11030,MYCBPAP,0.9614558433033027,0.20884657,MYCBPAP,0.9614558433033027,-0.20884657
11031,BBS1,0.9614558433033027,0.5051302,BBS1,0.9614558433033027,-0.5051302
11032,TMEM200A,0.9614558433033027,-0.106960855,TMEM200A,0.9614558433033027,0.106960855
11033,TRPM2,0.9615266415429572,0.044947576,TRPM2,0.9615266415429572,-0.044947576
11034,ARFGEF2,0.9615266415429572,-0.42288935,ARFGEF2,0.9615266415429572,0.42288935
11035,RP11-286N22.8,0.9615266415429572,0.067996755,RP11-286N22.8,0.9615266415429572,-0.067996755
11036,NIPA2,0.9615266415429572,-0.049183443,NIPA2,0.9615266415429572,0.049183443
11037,CTD-2313J17.6,0.9615620407765904,-0.10449335,CTD-2313J17.6,0.9615620407765904,0.10449335
11038,ZNF304,0.9615974400860011,0.07702555,ZNF304,0.9615974400860011,-0.07702555
11039,PUS7,0.9615974400860011,-0.1032363,PUS7,0.9615974400860011,0.1032363
11040,AGAP4,0.961668238931877,-0.34433663,AGAP4,0.961668238931877,0.34433663
11041,BBS12,0.961668238931877,-0.12951861,BBS12,0.961668238931877,0.12951861
11042,SKIV2L,0.9617390380800276,-0.45886603,SKIV2L,0.9617390380800276,0.45886603
11043,RFX7,0.9617744377672816,0.3842202,RFX7,0.9617744377672816,-0.3842202
11044,ARHGEF12,0.9618098375298951,-0.10455055,ARHGEF12,0.9618098375298951,0.10455055
11045,IGIP,0.9618098375298951,-0.057260145,IGIP,0.9618098375298951,0.057260145
11046,C11ORF57,0.9618452373677987,-0.15630466,C11ORF57,0.9618452373677987,0.15630466
11047,ARL17B,0.9618806372809224,-0.24176091,ARL17B,0.9618806372809224,0.24176091
11048,CD24,0.9619514373325518,-0.54223025,CD24,0.9619514373325518,0.54223025
11049,RAPGEF5,0.962022237684226,-0.25070944,RAPGEF5,0.962022237684226,0.25070944
11050,TMEM192,0.962234640533942,-0.00968994,TMEM192,0.962234640533942,0.00968994
11051,PKP4,0.9623408429648658,0.21949981,PKP4,0.9623408429648658,-0.21949981
11052,AC016700.5,0.9624116449568209,0.124800794,AC016700.5,0.9624116449568209,-0.124800794
11053,ERMN,0.9624470460639911,-0.66708046,ERMN,0.9624470460639911,0.66708046
11054,TEX2,0.9624824472451969,0.007424424,TEX2,0.9624824472451969,-0.007424424
11055,ITGA4,0.9625178485003687,-0.15050106,ITGA4,0.9625178485003687,0.15050106
11056,PLCD1,0.9625178485003687,-0.08729275,PLCD1,0.9625178485003687,0.08729275
11057,GATS,0.9625532498294366,0.009218175,GATS,0.9625532498294366,-0.009218175
11058,ABHD18,0.9626240527089822,-0.22487551,ABHD18,0.9626240527089822,0.22487551
11059,MFSD6,0.9626594542593204,-0.42078623,MFSD6,0.9626594542593204,0.42078623
11060,ZFP82,0.9626948558832762,0.39177307,ZFP82,0.9626948558832762,-0.39177307
11061,IFT88,0.9627302575807796,0.07554368,IFT88,0.9627302575807796,-0.07554368
11062,FAS,0.9628010611961508,0.17733696,FAS,0.9628010611961508,-0.17733696
11063,STK25,0.9628010611961508,-0.14220972,STK25,0.9628010611961508,0.14220972
11064,SMURF1,0.9628010611961508,-0.7819922,SMURF1,0.9628010611961508,0.7819922
11065,MKI67,0.9628364631138793,0.25369492,MKI67,0.9628364631138793,-0.25369492
11066,ANKRD52,0.9628718651048768,-0.23289493,ANKRD52,0.9628718651048768,0.23289493
11067,AREL1,0.9628718651048768,-0.55343235,AREL1,0.9628718651048768,0.55343235
11068,FAAP24,0.9629426693063996,-0.6587518,FAAP24,0.9629426693063996,0.6587518
11069,HIRIP3,0.9629780715167856,-0.12416927,HIRIP3,0.9629780715167856,0.12416927
11070,ALKBH2,0.963084278585606,-0.112966985,ALKBH2,0.963084278585606,0.112966985
11071,CES4A,0.9631196810875345,0.12609419,CES4A,0.9631196810875345,-0.12609419
11072,C15ORF41,0.9631550836621745,-0.58751565,C15ORF41,0.9631550836621745,0.58751565
11073,MCM9,0.9631550836621745,-0.5397449,MCM9,0.9631550836621745,0.5397449
11074,ANKRA2,0.9631550836621745,-0.08922574,ANKRA2,0.9631550836621745,0.08922574
11075,CRYBA4,0.9631550836621745,-0.42417124,CRYBA4,0.9631550836621745,0.42417124
11076,DENND6A,0.9631550836621745,-0.4515567,DENND6A,0.9631550836621745,0.4515567
11077,PEX26,0.9631550836621745,-0.14967614,PEX26,0.9631550836621745,0.14967614
11078,APOBEC3H,0.9632612918216654,0.0012289347,APOBEC3H,0.9632612918216654,-0.0012289347
11079,POLH,0.9632612918216654,0.095299624,POLH,0.9632612918216654,-0.095299624
11080,ZHX2,0.9632966946864538,-0.11933547,ZHX2,0.9632966946864538,0.11933547
11081,ZNF606,0.9633675006330497,-0.32195407,ZNF606,0.9633675006330497,0.32195407
11082,HES6,0.9633675006330497,0.0117927855,HES6,0.9633675006330497,-0.0117927855
11083,XXBAC-BPG181B23.7,0.9634383068685393,-0.5481812,XXBAC-BPG181B23.7,0.9634383068685393,0.5481812
11084,HJURP,0.9634383068685393,-0.3754374,HJURP,0.9634383068685393,0.3754374
11085,OIP5,0.9634383068685393,-0.287145,OIP5,0.9634383068685393,0.287145
11086,RP11-92K15.3,0.9634737100944452,-0.09706022,RP11-92K15.3,0.9634737100944452,0.09706022
11087,NEMP1,0.9635091133923652,-0.83882457,NEMP1,0.9635091133923652,0.83882457
11088,LATS2,0.9635091133923652,-0.31028393,LATS2,0.9635091133923652,0.31028393
11089,AMY2B,0.9635091133923652,-0.4380556,AMY2B,0.9635091133923652,0.4380556
11090,TBC1D13,0.9635445167622301,-0.22051503,TBC1D13,0.9635445167622301,0.22051503
11091,WDR92,0.9635799202039699,-0.40676686,WDR92,0.9635799202039699,0.40676686
11092,EGLN2,0.963615323717515,0.0031940315,EGLN2,0.963615323717515,-0.0031940315
11093,TARSL2,0.963615323717515,-0.09428456,TARSL2,0.963615323717515,0.09428456
11094,ZMAT1,0.9636507273027956,0.2821764,ZMAT1,0.9636507273027956,-0.2821764
11095,ZNF717,0.9637215346882847,-0.18291086,ZNF717,0.9637215346882847,0.18291086
11096,ZKSCAN5,0.9637215346882847,-0.54859245,ZKSCAN5,0.9637215346882847,0.54859245
11097,TUBB2A,0.9637215346882847,-0.35679847,TUBB2A,0.9637215346882847,0.35679847
11098,HIST1H3E,0.9637923423598795,-0.042681042,HIST1H3E,0.9637923423598795,0.042681042
11099,URB1,0.9637923423598795,-0.24334633,URB1,0.9637923423598795,0.24334633
11100,PLXNB2,0.9638631503170225,0.28565204,PLXNB2,0.9638631503170225,-0.28565204
11101,RNF32,0.9638985544025003,-0.09135469,RNF32,0.9638985544025003,0.09135469
11102,RP11-430H10.1,0.963933958559156,0.14809507,RP11-430H10.1,0.963933958559156,-0.14809507
11103,CDNF,0.9639693627869198,-0.32493407,CDNF,0.9639693627869198,0.32493407
11104,HAUS3,0.9640047670857221,-0.31027246,HAUS3,0.9640047670857221,0.31027246
11105,IPPK,0.9640401714554934,-0.2038213,IPPK,0.9640401714554934,0.2038213
11106,TOB1,0.9640755758961636,-0.24406447,TOB1,0.9640755758961636,0.24406447
11107,ZC3H8,0.9641817896428716,0.10787351,ZC3H8,0.9641817896428716,-0.10787351
11108,SECISBP2L,0.964217194366441,-0.18060236,SECISBP2L,0.964217194366441,0.18060236
11109,FZD3,0.964217194366441,-0.29105973,FZD3,0.964217194366441,0.29105973
11110,CCNB1IP1,0.9642880040251618,-0.021746907,CCNB1IP1,0.9642880040251618,0.021746907
11111,HAUS6,0.9643588139655269,-0.1725008,HAUS6,0.9643588139655269,0.1725008
11112,NACC1,0.9644296241869786,-0.072603926,NACC1,0.9644296241869786,0.072603926
11113,CCDC58,0.9644296241869786,0.060784206,CCDC58,0.9644296241869786,-0.060784206
11114,LAG3,0.9644650294029378,-0.15764074,LAG3,0.9644650294029378,0.15764074
11115,CENPO,0.9645004346889595,0.3238589,CENPO,0.9645004346889595,-0.3238589
11116,ADCY7,0.9645004346889595,-0.08030956,ADCY7,0.9645004346889595,0.08030956
11117,MDM2,0.9645712454709116,-0.21658279,MDM2,0.9645712454709116,0.21658279
11118,BAG5,0.9645712454709116,-0.33688107,BAG5,0.9645712454709116,0.33688107
11119,MRGBP,0.9646420565322772,-0.15881671,MRGBP,0.9646420565322772,0.15881671
11120,GHRL,0.9647128678724987,-0.13983987,GHRL,0.9647128678724987,0.13983987
11121,MASTL,0.9647128678724987,0.33329457,MASTL,0.9647128678724987,-0.33329457
11122,TDG,0.9647128678724987,-0.050816037,TDG,0.9647128678724987,0.050816037
11123,BATF,0.9647128678724987,-0.32189175,BATF,0.9647128678724987,0.32189175
11124,OGFR,0.9647836794910182,-0.27214414,OGFR,0.9647836794910182,0.27214414
11125,LIMD1,0.9647836794910182,-0.20983359,LIMD1,0.9647836794910182,0.20983359
11126,PSME3,0.9648190854044655,-0.23669967,PSME3,0.9648190854044655,0.23669967
11127,GRAMD1A,0.9648544913872781,-0.082479954,GRAMD1A,0.9648544913872781,0.082479954
11128,CLIC3,0.9649253035607206,-0.3415913,CLIC3,0.9649253035607206,0.3415913
11129,RP3-329A5.8,0.9649961160107878,-19.010557,RP3-329A5.8,0.9649961160107878,19.010557
11130,RP11-722E23.2,0.9649961160107878,-19.280516,RP11-722E23.2,0.9649961160107878,19.280516
11131,TMEM229B,0.9649961160107878,-19.039915,TMEM229B,0.9649961160107878,19.039915
11132,LIPJ,0.9649961160107878,-19.342505,LIPJ,0.9649961160107878,19.342505
11133,RBP7,0.9649961160107878,-19.049192,RBP7,0.9649961160107878,19.049192
11134,GATA2,0.9649961160107878,-19.433012,GATA2,0.9649961160107878,19.433012
11135,NEFH,0.9649961160107878,-19.871605,NEFH,0.9649961160107878,19.871605
11136,LAMB2,0.9649961160107878,-19.807487,LAMB2,0.9649961160107878,19.807487
11137,BAIAP2L2,0.9649961160107878,-19.450367,BAIAP2L2,0.9649961160107878,19.450367
11138,RP11-734I18.1,0.9649961160107878,-20.248728,RP11-734I18.1,0.9649961160107878,20.248728
11139,EOMES,0.9649961160107878,-20.829348,EOMES,0.9649961160107878,20.829348
11140,DSEL,0.9649961160107878,-19.214241,DSEL,0.9649961160107878,19.214241
11141,PLD1,0.9649961160107878,-19.702425,PLD1,0.9649961160107878,19.702425
11142,OLFM1,0.9649961160107878,-19.159239,OLFM1,0.9649961160107878,19.159239
11143,PTGR1,0.9649961160107878,-19.257446,PTGR1,0.9649961160107878,19.257446
11144,CDS1,0.9649961160107878,-20.966778,CDS1,0.9649961160107878,20.966778
11145,SCARF1,0.9649961160107878,-19.648647,SCARF1,0.9649961160107878,19.648647
11146,ELOVL4,0.9649961160107878,-19.057926,ELOVL4,0.9649961160107878,19.057926
11147,RNF180,0.9649961160107878,-19.90432,RNF180,0.9649961160107878,19.90432
11148,SEPN1,0.9649961160107878,-19.120499,SEPN1,0.9649961160107878,19.120499
11149,ALOX15B,0.9649961160107878,-19.99673,ALOX15B,0.9649961160107878,19.99673
11150,CTD-2555O16.1,0.9649961160107878,-19.795147,CTD-2555O16.1,0.9649961160107878,19.795147
11151,RAPSN,0.9649961160107878,-19.453775,RAPSN,0.9649961160107878,19.453775
11152,CDA,0.9649961160107878,-19.049192,CDA,0.9649961160107878,19.049192
11153,DNAJB7,0.9649961160107878,-19.052277,DNAJB7,0.9649961160107878,19.052277
11154,RP11-180M15.6,0.9649961160107878,-21.319895,RP11-180M15.6,0.9649961160107878,21.319895
11155,CYP2J2,0.9649961160107878,-19.72015,CYP2J2,0.9649961160107878,19.72015
11156,SPDYE1,0.9649961160107878,-18.954565,SPDYE1,0.9649961160107878,18.954565
11157,FBLN2,0.9649961160107878,-19.934393,FBLN2,0.9649961160107878,19.934393
11158,CR1L,0.9649961160107878,-19.094383,CR1L,0.9649961160107878,19.094383
11159,PTPRN,0.9649961160107878,-19.767742,PTPRN,0.9649961160107878,19.767742
11160,CTD-2509G16.2,0.9649961160107878,-19.741783,CTD-2509G16.2,0.9649961160107878,19.741783
11161,SLC25A34,0.9649961160107878,-19.33829,SLC25A34,0.9649961160107878,19.33829
11162,RP11-46H11.3,0.9649961160107878,-20.066973,RP11-46H11.3,0.9649961160107878,20.066973
11163,HSPA2,0.9649961160107878,-19.793526,HSPA2,0.9649961160107878,19.793526
11164,RP11-756H6.1,0.9649961160107878,-19.721684,RP11-756H6.1,0.9649961160107878,19.721684
11165,ADORA3,0.9649961160107878,-19.226894,ADORA3,0.9649961160107878,19.226894
11166,TNC,0.9649961160107878,-19.735344,TNC,0.9649961160107878,19.735344
11167,CHRNA10,0.9649961160107878,-18.765005,CHRNA10,0.9649961160107878,18.765005
11168,GS1-166A23.2,0.9649961160107878,-19.94306,GS1-166A23.2,0.9649961160107878,19.94306
11169,MGST1,0.9649961160107878,-20.061123,MGST1,0.9649961160107878,20.061123
11170,TXNRD3,0.9649961160107878,-19.245438,TXNRD3,0.9649961160107878,19.245438
11171,LRP3,0.9649961160107878,-19.25589,LRP3,0.9649961160107878,19.25589
11172,TSPAN6,0.9649961160107878,-19.37128,TSPAN6,0.9649961160107878,19.37128
11173,MYO16,0.9649961160107878,-19.412296,MYO16,0.9649961160107878,19.412296
11174,ZNF556,0.9649961160107878,-19.305992,ZNF556,0.9649961160107878,19.305992
11175,RP11-573G6.10,0.9649961160107878,-19.565767,RP11-573G6.10,0.9649961160107878,19.565767
11176,ABCG2,0.9649961160107878,-20.230331,ABCG2,0.9649961160107878,20.230331
11177,P2RY14,0.9649961160107878,-20.030464,P2RY14,0.9649961160107878,20.030464
11178,GLOD5,0.9649961160107878,-18.82751,GLOD5,0.9649961160107878,18.82751
11179,LYPD8,0.9649961160107878,-20.062262,LYPD8,0.9649961160107878,20.062262
11180,NPIPA5,0.9649961160107878,-19.46134,NPIPA5,0.9649961160107878,19.46134
11181,RP11-83N9.5,0.9649961160107878,-19.433542,RP11-83N9.5,0.9649961160107878,19.433542
11182,RP11-805I24.1,0.9649961160107878,-21.028008,RP11-805I24.1,0.9649961160107878,21.028008
11183,RP11-278A23.1,0.9649961160107878,-18.742653,RP11-278A23.1,0.9649961160107878,18.742653
11184,RIN1,0.9649961160107878,-20.224802,RIN1,0.9649961160107878,20.224802
11185,ANKRD61,0.9649961160107878,-19.060354,ANKRD61,0.9649961160107878,19.060354
11186,BNIPL,0.9649961160107878,-19.609386,BNIPL,0.9649961160107878,19.609386
11187,MMP15,0.9649961160107878,-19.609386,MMP15,0.9649961160107878,19.609386
11188,FLRT2,0.9649961160107878,-19.932589,FLRT2,0.9649961160107878,19.932589
11189,MATN1,0.9649961160107878,-18.740072,MATN1,0.9649961160107878,18.740072
11190,KLHL25,0.9649961160107878,-19.973265,KLHL25,0.9649961160107878,19.973265
11191,SAMD13,0.9649961160107878,-20.062405,SAMD13,0.9649961160107878,20.062405
11192,MAP1B,0.9649961160107878,-19.721684,MAP1B,0.9649961160107878,19.721684
11193,CXCL12,0.9649961160107878,-19.572418,CXCL12,0.9649961160107878,19.572418
11194,RP1-29C18.9,0.9649961160107878,-19.835743,RP1-29C18.9,0.9649961160107878,19.835743
11195,RP11-2C24.9,0.9649961160107878,-19.86768,RP11-2C24.9,0.9649961160107878,19.86768
11196,C20ORF202,0.9649961160107878,-19.00971,C20ORF202,0.9649961160107878,19.00971
11197,RP3-473L9.4,0.9649961160107878,-19.37128,RP3-473L9.4,0.9649961160107878,19.37128
11198,ZBTB46,0.9649961160107878,-20.313993,ZBTB46,0.9649961160107878,20.313993
11199,RP1-153P14.5,0.9649961160107878,-19.69263,RP1-153P14.5,0.9649961160107878,19.69263
11200,FZD5,0.9649961160107878,-19.21492,FZD5,0.9649961160107878,19.21492
11201,LY6K,0.9649961160107878,-19.040182,LY6K,0.9649961160107878,19.040182
11202,MYOM2,0.9649961160107878,-19.524368,MYOM2,0.9649961160107878,19.524368
11203,IL2,0.9649961160107878,-19.82669,IL2,0.9649961160107878,19.82669
11204,CFTR,0.9649961160107878,-19.28297,CFTR,0.9649961160107878,19.28297
11205,CHL1,0.9649961160107878,-20.219618,CHL1,0.9649961160107878,20.219618
11206,HCAR3,0.9649961160107878,-19.049192,HCAR3,0.9649961160107878,19.049192
11207,RP11-356J5.12,0.9649961160107878,-19.527304,RP11-356J5.12,0.9649961160107878,19.527304
11208,RP11-76E17.3,0.9649961160107878,-19.572418,RP11-76E17.3,0.9649961160107878,19.572418
11209,PMP22,0.9649961160107878,-19.724867,PMP22,0.9649961160107878,19.724867
11210,TPPP3,0.9649961160107878,-19.049192,TPPP3,0.9649961160107878,19.049192
11211,PCDHGA6,0.9649961160107878,-19.676748,PCDHGA6,0.9649961160107878,19.676748
11212,FUT7,0.9649961160107878,-19.814877,FUT7,0.9649961160107878,19.814877
11213,CTD-2246P4.1,0.9649961160107878,-19.412296,CTD-2246P4.1,0.9649961160107878,19.412296
11214,CHST13,0.9649961160107878,-19.049192,CHST13,0.9649961160107878,19.049192
11215,CHRD,0.9649961160107878,-19.473951,CHRD,0.9649961160107878,19.473951
11216,YJEFN3,0.9649961160107878,-19.524368,YJEFN3,0.9649961160107878,19.524368
11217,CCDC113,0.9649961160107878,-19.248913,CCDC113,0.9649961160107878,19.248913
11218,CTD-2650P22.1,0.9649961160107878,-19.527967,CTD-2650P22.1,0.9649961160107878,19.527967
11219,GPBAR1,0.9649961160107878,-19.360838,GPBAR1,0.9649961160107878,19.360838
11220,AZU1,0.9649961160107878,-20.05035,AZU1,0.9649961160107878,20.05035
11221,CALHM1,0.9649961160107878,-19.404999,CALHM1,0.9649961160107878,19.404999
11222,COL7A1,0.9649961160107878,-19.790636,COL7A1,0.9649961160107878,19.790636
11223,PRDM12,0.9649961160107878,-19.265015,PRDM12,0.9649961160107878,19.265015
11224,GLUD2,0.9649961160107878,-19.28297,GLUD2,0.9649961160107878,19.28297
11225,ACTG2,0.9649961160107878,-19.030104,ACTG2,0.9649961160107878,19.030104
11226,SYNPO2,0.9649961160107878,-18.799774,SYNPO2,0.9649961160107878,18.799774
11227,MNX1,0.9649961160107878,-19.287338,MNX1,0.9649961160107878,19.287338
11228,CLDN23,0.9649961160107878,-18.869814,CLDN23,0.9649961160107878,18.869814
11229,LINC01320,0.9649961160107878,-20.799002,LINC01320,0.9649961160107878,20.799002
11230,CELF5,0.9649961160107878,-19.416048,CELF5,0.9649961160107878,19.416048
11231,RP11-463O12.3,0.9649961160107878,-19.184399,RP11-463O12.3,0.9649961160107878,19.184399
11232,TNFSF11,0.9649961160107878,-19.060354,TNFSF11,0.9649961160107878,19.060354
11233,BRDT,0.9649961160107878,-19.245438,BRDT,0.9649961160107878,19.245438
11234,ACTN2,0.9649961160107878,-19.280516,ACTN2,0.9649961160107878,19.280516
11235,RP11-420N3.2,0.9649961160107878,-19.16403,RP11-420N3.2,0.9649961160107878,19.16403
11236,PRSS27,0.9649961160107878,-18.860537,PRSS27,0.9649961160107878,18.860537
11237,IL26,0.9649961160107878,-18.98142,IL26,0.9649961160107878,18.98142
11238,PXDN,0.9649961160107878,-19.622652,PXDN,0.9649961160107878,19.622652
11239,ZNF80,0.9649961160107878,-19.72015,ZNF80,0.9649961160107878,19.72015
11240,LINC01030,0.9649961160107878,-19.86768,LINC01030,0.9649961160107878,19.86768
11241,FBXL13,0.9649961160107878,-19.552374,FBXL13,0.9649961160107878,19.552374
11242,CLIP1-AS1,0.9649961160107878,-19.014666,CLIP1-AS1,0.9649961160107878,19.014666
11243,SEMA3G,0.9649961160107878,-19.395243,SEMA3G,0.9649961160107878,19.395243
11244,FAM218A,0.9649961160107878,-19.10104,FAM218A,0.9649961160107878,19.10104
11245,FPR2,0.9649961160107878,-19.049192,FPR2,0.9649961160107878,19.049192
11246,ACE,0.9649961160107878,-19.19492,ACE,0.9649961160107878,19.19492
11247,PDF,0.9649961160107878,-19.903185,PDF,0.9649961160107878,19.903185
11248,RP11-574F21.3,0.9649961160107878,-19.580086,RP11-574F21.3,0.9649961160107878,19.580086
11249,HRH4,0.9649961160107878,-20.265724,HRH4,0.9649961160107878,20.265724
11250,APOA1,0.9649961160107878,-18.849054,APOA1,0.9649961160107878,18.849054
11251,SCD,0.9649961160107878,-18.889572,SCD,0.9649961160107878,18.889572
11252,RP11-556O15.1,0.9649961160107878,-19.925783,RP11-556O15.1,0.9649961160107878,19.925783
11253,BHMT2,0.9649961160107878,-18.914345,BHMT2,0.9649961160107878,18.914345
11254,XXBAC-BPG308K3.5,0.9649961160107878,-18.801962,XXBAC-BPG308K3.5,0.9649961160107878,18.801962
11255,KCNA5,0.9649961160107878,-20.208677,KCNA5,0.9649961160107878,20.208677
11256,CDC42BPG,0.9649961160107878,-19.52059,CDC42BPG,0.9649961160107878,19.52059
11257,ZNF730,0.9649961160107878,-19.060354,ZNF730,0.9649961160107878,19.060354
11258,NLRP3,0.9649961160107878,-19.535769,NLRP3,0.9649961160107878,19.535769
11259,USP2,0.9649961160107878,-19.774796,USP2,0.9649961160107878,19.774796
11260,ASB11,0.9649961160107878,-18.862352,ASB11,0.9649961160107878,18.862352
11261,KLHL33,0.9649961160107878,-19.884815,KLHL33,0.9649961160107878,19.884815
11262,KRT86,0.9649961160107878,-19.702425,KRT86,0.9649961160107878,19.702425
11263,RP11-23F23.2,0.9649961160107878,-20.540777,RP11-23F23.2,0.9649961160107878,20.540777
11264,SKIDA1,0.9649961160107878,-19.793526,SKIDA1,0.9649961160107878,19.793526
11265,DSG2,0.9649961160107878,-20.118195,DSG2,0.9649961160107878,20.118195
11266,ADAM11,0.9649961160107878,-18.85534,ADAM11,0.9649961160107878,18.85534
11267,RP11-21K12.3,0.9649961160107878,-20.538027,RP11-21K12.3,0.9649961160107878,20.538027
11268,RP3-340N1.2,0.9649961160107878,-20.792984,RP3-340N1.2,0.9649961160107878,20.792984
11269,PIGR,0.9649961160107878,-20.062262,PIGR,0.9649961160107878,20.062262
11270,PRR29-AS1,0.9649961160107878,-19.134455,PRR29-AS1,0.9649961160107878,19.134455
11271,TMEM150C,0.9649961160107878,-19.73015,TMEM150C,0.9649961160107878,19.73015
11272,ALPK2,0.9649961160107878,-18.767962,ALPK2,0.9649961160107878,18.767962
11273,CTD-2026G6.3,0.9649961160107878,-19.721684,CTD-2026G6.3,0.9649961160107878,19.721684
11274,PCAT29,0.9649961160107878,-18.898502,PCAT29,0.9649961160107878,18.898502
11275,ZNF284,0.9649961160107878,-19.07072,ZNF284,0.9649961160107878,19.07072
11276,SCNN1D,0.9649961160107878,-20.68046,SCNN1D,0.9649961160107878,20.68046
11277,DCDC2B,0.9649961160107878,-19.05914,DCDC2B,0.9649961160107878,19.05914
11278,PRND,0.9649961160107878,-19.159239,PRND,0.9649961160107878,19.159239
