,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
9457,RP11-14N7.2,0.719174755235327,-1.9124802,IFIT5,0.8805072131298127,0.07937899,LDLRAP1,0.5182391354325273,0.06732271,ATN1,0.9052247351395605,-0.94968617
9458,DCUN1D3,0.719197077400481,-1.847565,AMZ1,0.8805072131298127,-0.5739504,RP11-111F5.4,0.5191316147819149,0.8641739,PPP1R3F,0.9052974635703925,1.4987142
9459,FBXL19,0.7192082385728795,-1.5859778,ABCD1,0.8805259941068149,-0.58277804,ZHX1-C8ORF76,0.5193570262127657,0.6151612,CEP162,0.9053459496322697,-0.19214545
9460,SIK2,0.7192473031478007,-0.53203213,TRIM14,0.8806073791168908,0.17551242,CD302,0.5194524077935032,1.9493009,PHF3,0.9053580712028786,-0.14602159
9461,PXN,0.7192528838612335,-1.6162665,BBS1,0.8806699838289308,0.592704,ID1,0.5195217818937778,0.38074917,AXIN1,0.9053701927955378,-0.90042144
9462,NDST2,0.7192752068646362,-1.4450725,PLAGL1,0.8806762443411591,0.2988369,ZNF160,0.5197125853195665,-0.4732344,PTPN12,0.9053944360469959,-0.51292735
9463,FADS1,0.7192752068646362,2.214851,ZNF502,0.8809329317589362,-0.4679394,C1ORF228,0.5197212590614654,-0.6243779,CFL2,0.905406557705789,0.12171171
9464,ZNF227,0.719303110955629,0.16934729,ZNF304,0.8809454534165939,-0.47126102,HIPK2,0.5198340245017377,-1.6385696,ANKFY1,0.905406557705789,0.03019758
9465,ATP8B2,0.7193086918187235,-1.6473951,RP13-516M14.1,0.8809579751040151,1.0484124,RP4-798A10.7,0.5213098102190422,1.4077257,DBT,0.90543080108949,-0.13429685
9466,SMURF1,0.7193198535898062,-0.5008934,GGT7,0.8809892794527626,0.65845954,RP11-91G21.1,0.5214314415480901,1.3405412,NUCB2,0.9054429228143921,0.052629504
9467,GTPBP10,0.7195151942710976,0.14901774,CTD-2302E22.6,0.8809955403448281,-0.43401527,SEMA4F,0.5215183300090793,1.0080458,PLOD1,0.9055641412746392,0.98030186
9468,ZNF280B,0.7196491527554391,-0.569428,LSR,0.881008062151272,0.38746092,C2CD2L,0.5215878461413123,0.7649554,TMTC3,0.9055883852308106,-0.8390749
9469,IPO8,0.7196714800066939,0.24643654,LINC01006,0.8810143230656496,-0.031953707,AHSA2,0.5217442748674495,-0.5635279,DCAF4,0.9056732397701732,-0.46367255
9470,RNASET2,0.7197607914030726,-0.04540224,CTC-559E9.1,0.8811082376734922,0.38508254,RP3-395M20.9,0.5217790400833631,0.5266127,TBC1D14,0.9057096063310476,0.41221422
9471,C10ORF95,0.7197831198499203,-0.5181055,CORO7,0.8811395429143789,0.2370337,BTRC,0.5217790400833631,0.42108968,TSEN54,0.9057338508148142,0.237055
9472,C16ORF70,0.7199059305804337,-0.29946822,KLHL24,0.8812898106550437,0.15142085,CYS1,0.5219876563967452,4.554227,KDM8,0.9057338508148142,0.8844646
9473,RALGAPB,0.7199338431183595,0.2358303,RP11-596C23.6,0.881408775647594,0.7940992,ENPP4,0.5220572046970924,0.2917654,RSRC2,0.9057702177051836,0.006622737
9474,ZNF808,0.720073411407693,0.14462283,ZNF443,0.8814839128112231,-0.49100718,H1F0,0.5220572046970924,4.366969,SLC48A1,0.9057823400458874,-0.44518623
9475,RYK,0.7200845772739403,0.07748628,RP11-176H8.1,0.8814964357755538,0.74853057,APBA2,0.5220572046970924,4.1656313,LMTK2,0.9058065847931493,0.8992714
9476,FAM131A,0.720492172237182,-0.5516785,SUPT7L,0.8815152202776008,0.23633859,PPP1R14C,0.5220745925165455,3.827436,AC003090.1,0.9060369142673524,-1.6922494
9477,CCL22,0.7205368450102126,-2.6446738,NPIPB11,0.8816028821682727,1.0410472,GJC1,0.5220745925165455,3.9989438,RP11-452L6.1,0.9060854056907229,-1.7151487
9478,JAKMIP2,0.7207267149361485,-1.4427323,BEST4,0.8816279286892101,1.0803127,GLDC,0.5220745925165455,3.845528,CCDC102B,0.9061338974642118,-1.8382539
9479,TEP1,0.7207434689917838,-0.16396771,ZNF829,0.8817093306997006,-0.50347406,IL12RB2,0.5220745925165455,3.6721447,OSGEP,0.9061338974642118,-0.07350943
9480,TMEM110,0.7207602231814747,-1.670382,MIR29A,0.8817469012798878,-0.31854182,RUNDC1,0.5221528413884104,-0.67885315,COG6,0.9062308820608284,0.17147255
9481,OTUD3,0.7209724545177085,-0.5340613,KANSL1L,0.881796995800714,-0.40505806,FAM134B,0.522839951222745,0.037737053,BORA,0.9062430052337546,0.31839538
9482,HEG1,0.7210171375381642,-0.35441115,RP4-635E18.9,0.8818345670016584,-0.57803625,ATG14,0.523257662333098,-0.27030367,CROT,0.9062430052337546,0.09891299
9483,SIPA1L1,0.7211120921188349,0.651468,ZNF548,0.8818408288943361,0.34174585,RP1-29C18.10,0.5233272974991963,-0.25416437,PHF13,0.9062793748835979,-1.7495676
9484,EMC1,0.7212852556571299,0.15671973,LINC00957,0.8819097102011639,-0.48038888,SLC31A2,0.5234143481438037,0.7344051,PHF12,0.9063642381640852,-0.32161972
9485,RP11-960L18.1,0.7213913952115107,0.654451,FAM72A,0.8819472821995585,0.14186873,RSPH3,0.5238497127851873,0.63556075,RNF122,0.9063884850120573,0.39173973
9486,UNC119B,0.7213969816524987,-0.12206873,TPM1,0.8820161648865076,0.18245086,CCDC9,0.5238671312323525,0.4872277,ZNF440,0.9063884850120573,0.337611
