,0_n,0_p,0_l,1_n,1_p,1_l,8_n,8_p,8_l,9_n,9_p,9_l
146,TXN,8.979623626737254e-36,-1.896613,RCSD1,4.387175055035665e-17,-0.52613556,RALY,1.6136749734095843e-105,3.0656307,SUB1,4.871720865825234e-17,-1.6066258
147,CD82,2.914052707854783e-35,-1.7816254,NEIL1,4.464947279498769e-17,-2.4228292,AP2S1,2.7538308040957648e-105,2.7862837,PSMB3,5.295979592485175e-17,1.4061415
148,CD72,3.7040420205780023e-35,1.5840694,STX7,4.725303863617021e-17,-0.90665174,SHFM1,3.0377451259551473e-105,2.6672108,CCT8,6.154545742538129e-17,1.3888273
149,GCHFR,4.134580191329963e-35,-3.109942,BCL7A,4.811582606261625e-17,-2.8562827,PPP4C,2.4831098889252184e-104,2.8001897,PSMB1,6.335148281276963e-17,1.2910005
150,RGS13,4.839263764416333e-35,-6.416348,RFTN1,6.97395336705322e-17,-2.0092912,COX17,3.0143327156797115e-104,2.7433422,AC090498.1,9.911030170613548e-17,-1.2947404
151,MRPL41,6.127625150336941e-35,-1.8249341,MARCKSL1,1.1964120941234819e-16,-0.7548203,RBBP7,5.5420486924535694e-104,2.9887931,SMIM20,1.0419018172773802e-16,1.8719068
152,NDUFA11,6.736940572564261e-35,-1.1370175,CNPY3,2.02791722998211e-16,0.98199,ENO1,6.661391742861284e-104,2.6211512,ARPC5,1.1458583384379055e-16,1.2732813
153,FOXP1,7.039662200686694e-35,1.3788407,HLA-DPB1,3.1216694135728736e-16,-0.24148256,PRDX6,9.085153287677995e-104,2.7264795,COTL1,1.2170707661406177e-16,1.1407789
154,ATP5J,7.354534036454938e-35,-1.1126229,GPX4,3.6051863587103624e-16,0.80484617,TOMM7,2.1400934158363313e-103,-1.1821413,OGG1,1.2626202996089617e-16,2.5323014
155,CRIP1,8.955791794788694e-35,-2.986417,RNASE6,3.717608254118489e-16,-0.6981041,LSM3,8.274963609820092e-103,2.65407,CD53,1.7039852743930412e-16,0.8227193
156,ARID5B,8.985624555520291e-35,-1.1585433,NPM1,4.147386964504584e-16,0.44381568,ERH,1.0522729897561496e-102,2.644225,RP5-887A10.1,1.7559657507556854e-16,-4.1940384
157,UQCRFS1,1.3929000425279598e-34,-1.4923235,JUNB,7.481308118230684e-16,0.69285595,NAA38,1.1013297480311891e-102,2.7377687,HDAC1,3.216509008134788e-16,1.5657163
158,NDUFB8,1.8413761516067666e-34,-1.2220247,GMFG,8.444079988708109e-16,-0.5645052,KPNA2,3.0595487399943463e-102,5.0934486,CD40,3.3996132798989087e-16,1.505591
159,PRELID1,2.1799977608197424e-34,-1.1779124,PTTG1,1.5828018823609574e-15,-2.4608538,HNRNPA3,4.610831726890789e-102,2.536453,IGHD,3.936476261193462e-16,-1.9052773
160,LRMP,2.39644300798656e-34,-1.5507524,KIAA0101,2.331740057924666e-15,-4.0759616,LSM5,6.204589105169561e-102,2.663728,NDUFB3,4.691371493951959e-16,1.3932303
161,MBD4,2.6053850804469287e-34,-1.0853091,RIC3,2.4933076724128103e-15,1.1558772,SRSF9,7.77163987572575e-102,2.6429012,TCL1A,5.344499661451838e-16,1.2691114
162,NDUFS5,3.4821488098546383e-34,-1.1938436,RGS13,2.704372265840609e-15,-4.758891,HNRNPA2B1,2.4045598344184383e-101,1.936322,SMARCB1,5.596274163112558e-16,1.4607421
163,SLC25A3,3.690904274199693e-34,-1.0153481,OST4,3.2536081595480584e-15,0.52898157,PSMA4,2.48437808128689e-101,2.6755943,LYPLAL1,6.909370890065535e-16,2.2226374
164,MRPL51,4.369876713185465e-34,-1.2296675,RP11-693J15.5,3.841370848170909e-15,-0.6038081,RGS10,3.8987665217683924e-101,2.8491476,SHFM1,1.1810362268660906e-15,1.3027611
165,PLPP5,4.56296328439385e-34,2.65883,RNASET2,3.994445863431947e-15,0.73773885,EEF1D,1.0934970677042798e-100,-0.80030096,ZNF581,1.4576694853209823e-15,1.7674495
166,SRSF9,6.639654264187448e-34,-1.1598405,SESN1,4.4043173888403905e-15,-1.7268553,EIF5A,2.0648735550225238e-100,2.8106446,SELL,1.5978057421523263e-15,-2.3609178
167,HVCN1,8.1785418891537e-34,1.5008534,C10ORF128,4.45922307700177e-15,4.218516,ATP5C1,2.486630660272602e-100,2.705693,ITSN2,1.8180112724588825e-15,1.3982307
168,AP2S1,9.42432101301347e-34,-1.3618408,CKS1B,4.492886849201074e-15,-1.6478162,UQCRFS1,1.2581913630440516e-99,2.747224,GDI2,1.9460160346386575e-15,1.1972111
169,CCDC167,1.4775188525262445e-33,-2.1506848,ALOX5AP,6.03805403812122e-15,-0.78818244,SLBP,2.370465528165703e-99,3.3587751,EPS15,3.2326702244065033e-15,2.1677117
170,COPS9,1.7313240057466418e-33,-1.2929858,CD200,6.837703251390672e-15,-3.238195,CBX3,2.7369443923770894e-99,2.6134028,SEC61B,3.3462357429121768e-15,1.2003753
171,SLBP,2.503882764886544e-33,-2.0950544,MDM4,7.150632429927514e-15,-0.83705014,GLTSCR2,1.0774241651987128e-98,-1.3069571,MGEA5,4.238711063356706e-15,1.4226365
172,HMGN3,2.972849552374254e-33,-1.2501776,P2RX5,9.358468479616235e-15,-0.8195772,PRDX3,2.7123838814283887e-98,3.0359867,C4ORF3,4.338060463879842e-15,1.1363505
173,KLHL6,4.157042861832724e-33,-2.6709278,CBX3,1.1036886281456868e-14,-0.77140045,NUDT21,2.8504183924496495e-98,3.0909698,ATP5F1,4.797872891589008e-15,1.2377357
174,PSMB3,4.5339235414464955e-33,-1.1835302,C1ORF162,1.1551024723251112e-14,-1.6405032,AURKAIP1,5.398168311500622e-98,2.6653185,HSBP1,5.514585458110571e-15,1.5008378
175,SUSD3,5.672845726362944e-33,-2.5368514,SELM,1.3005024403172615e-14,2.6668563,WDR1,1.3487529634573923e-97,2.8866005,CNIH1,6.066570618805724e-15,1.8069229
176,NDUFB1,8.998972101366629e-33,-1.1771469,H2AFV,1.3900432320584468e-14,-1.1339294,UBE2L3,1.7797492271664075e-97,2.6482866,ATP5C1,8.644400764213175e-15,1.4478931
177,NPM1,9.975039633956117e-33,-0.5881579,TSPO,1.5337472870546245e-14,-1.3081882,COTL1,1.5004368234730793e-96,2.4191043,ATPIF1,1.0973652441248017e-14,1.2528013
178,TKT,1.0397071205701354e-32,-1.5664818,ETS1,2.0507679525471145e-14,-1.0308621,POLR2L,2.7761304346238684e-96,2.5778346,SRSF3,1.2504409543669251e-14,1.1140466
179,UBE2I,1.1323375222555182e-32,-1.0661585,SLC38A1,2.7306021836438753e-14,-0.8615938,TCEB1,3.418564852804536e-96,2.586151,SIT1,1.444559728540312e-14,1.6852887
180,SNRPG,1.1492727544761371e-32,-1.1031654,CUTA,2.760098531686304e-14,0.71579874,HNRNPAB,5.488516996990718e-96,3.4953332,FNBP1,1.4678980465640192e-14,1.244746
181,COX5B,1.589715431149505e-32,-1.0088427,DUSP2,2.871368488327967e-14,1.1359595,HMCES,6.7489124778683504e-96,4.1725497,SUSD3,1.5505019233291444e-14,2.151011
182,PSIP1,1.6290553107552082e-32,-1.2368147,ACTR3,3.028905187936842e-14,-0.5985052,MZT2A,1.1520417766003325e-95,2.5383873,IMP4,2.3150972881154056e-14,1.67076
183,ATP5C1,1.7126427714751178e-32,-1.2775369,SPRY1,3.5848433501129966e-14,-2.7778242,DCTN3,1.293007474795398e-95,2.7713325,YWHAE,2.388495490467194e-14,1.5203776
184,SIT1,1.76237237608547e-32,-1.5836537,ARHGDIB,5.0847753359247325e-14,-0.22643672,PSMB2,1.3911214181916012e-95,2.7199929,POU2F2,2.797849773817234e-14,1.1843121
185,NDUFB2,1.9506802006798465e-32,-1.1109418,GYPC,5.389433396018821e-14,-0.761912,TUBA1C,3.443580256511403e-95,4.2900715,CD22,2.86620108397291e-14,1.2229964
186,MCL1,2.0024476282674854e-32,-1.2695609,RMI2,6.989720003280702e-14,-2.772004,SUMO2,3.5169722549184734e-95,2.0125718,SELT,3.039314020301063e-14,1.3873249
187,PMVK,2.0252295432649706e-32,-2.3162146,SERBP1,8.410944000432678e-14,-0.54908985,KIF22,3.629996467982457e-95,5.1066537,HLA-C,3.4213934758753106e-14,-0.70366865
188,ERH,2.522971640344382e-32,-1.1268871,ARL6IP5,8.582417555137713e-14,0.6736655,MYBL2,6.169881278396499e-95,5.04257,LAPTM5,3.5718475711508513e-14,0.56618416
189,BAX,2.817763865938724e-32,-1.3210659,HMGN1,9.034157544882058e-14,-0.33062968,CENPU,1.0839962456762775e-94,5.5050535,P2RX5,4.63856117462974e-14,1.2636577
190,NDUFS6,3.8125903702284126e-32,-1.3067923,CARHSP1,1.1636271390156654e-13,-1.1587863,EZH2,2.049954348066613e-94,5.17355,PGLS,4.773826370909886e-14,1.4464166
191,PSMA7,4.147600721509152e-32,-0.9996622,PLAC8,1.217748500618384e-13,-0.7467795,NDUFV2,2.251874804305118e-94,2.6154842,GSTP1,4.85968770156741e-14,1.2726276
192,SNRPD1,4.6518101917902096e-32,-1.1850034,IGKC,1.3888216119863507e-13,0.4028678,CLTA,2.4148961932972957e-94,2.5815449,COX6C,4.9020363850000345e-14,0.9031613
193,AURKAIP1,5.048335554124849e-32,-1.3019596,CAP1,1.5353929855622775e-13,-0.58897185,TPX2,3.023613189583393e-94,8.071525,SLC25A3,5.849892976479966e-14,1.0484823
194,PLP2,5.983842829338437e-32,-1.4716697,IGHG1,1.8285856721787765e-13,1.5569806,CDK2AP2,4.0000860533096795e-94,3.1154668,HLA-DPA1,6.923893839390851e-14,-0.66687804
195,CALM3,7.048812196606396e-32,-1.5871902,COX7C,1.962669366707964e-13,0.35815805,DYNLL1,5.97000308490311e-94,2.4538543,BIK,1.2246156041430196e-13,3.5050282
196,PGLS,9.079703176815187e-32,-1.2323928,SARAF,1.9713118654330336e-13,-0.4175678,UBE2J1,6.235743881748751e-94,3.0550811,ACY3,1.2699478990395984e-13,3.39613
197,ROMO1,1.2064429747233204e-31,-1.5095867,RPA3,2.2737507605797003e-13,-0.88289213,TALDO1,9.507351705358258e-94,2.6898937,UBE2L3,1.3651433635508017e-13,1.3071699
198,SCIMP,1.2548154719849862e-31,-2.017182,TCF4,2.4125469186720297e-13,0.7635919,SAE1,1.8634852967617277e-93,3.67233,ABRACL,1.405672778862459e-13,1.4552647
199,CUTA,1.609296291987833e-31,-0.97238696,STK17A,2.5300252208220973e-13,-0.4750958,FEN1,4.669399484751996e-93,5.4877396,ATP5J,1.407616527036305e-13,1.1741933
200,LPIN1,2.097999751137619e-31,-1.9983248,H2AFY,3.215963115025418e-13,-1.2321281,GMNN,5.55313094539635e-93,4.8185706,ZCCHC7,1.4949467139588675e-13,1.4040728
201,COPE,2.1270554053678335e-31,-1.0716692,PARP1,3.2201302148798785e-13,-0.6514478,COX6A1,1.358855923256395e-92,2.349562,TRAPPC1,1.6031763171551213e-13,1.1692573
202,SIVA1,2.6436786743695008e-31,-1.4745926,PPIA,3.574616923392973e-13,-0.2100128,UBE2A,1.4658404920866222e-92,2.8486304,SMIM14,2.548542768405233e-13,0.94987464
203,TRAPPC1,2.6832790734639984e-31,-1.0479779,STAG3,3.894730785661976e-13,-1.01497,METAP2,1.5683044842476066e-92,2.7866979,NSMCE1,2.68869746257715e-13,1.7335322
204,PGAM1,3.4183772865700133e-31,-1.3171816,NSMCE1,6.358714236146277e-13,-1.3839437,GLRX5,2.1542404243886294e-92,3.1219192,VNN2,3.022508569586149e-13,2.4680278
205,ATP5I,5.517746939917787e-31,-1.0138975,CD52,7.273189944382532e-13,-0.1386109,CLSPN,3.53581721852414e-92,7.235528,RP11-693J15.5,3.169088551507984e-13,-1.3828838
206,ATP5A1,5.928223120229012e-31,-1.0095242,NUCKS1,8.34389388714731e-13,-0.60471594,SNRNP25,1.2720729969542275e-91,3.0169444,MAP3K7CL,3.2440540103075716e-13,2.8647099
207,METAP2,6.585676179951018e-31,-1.4073398,STRBP,8.718262304155562e-13,-1.0155668,YWHAE,1.9743122887305072e-91,2.62297,CSTB,3.4458045432876407e-13,1.2645684
208,EIF5A,8.768330097710125e-31,-1.2668525,IER5,8.832885398349306e-13,1.2297535,NDUFA4,2.1566755229330968e-91,2.080716,ODC1,3.8155213541968165e-13,1.4166789
209,RBBP7,1.1602923701549423e-30,-1.4998305,YWHAQ,8.849745680364029e-13,-0.861568,VDAC1,2.4049991298080393e-91,2.731538,CDCA7,3.940967180025924e-13,2.8204565
210,BRK1,1.3121337527590568e-30,-0.95289266,UQCR11,9.346734960026831e-13,0.6046837,BLOC1S1,3.0495106139416314e-91,2.459367,TACC1,4.120439598947454e-13,1.5592802
211,SMC4,1.779891195868175e-30,-2.0468357,ACAP1,1.2854081494915144e-12,0.7100101,POMP,4.49588344197979e-91,2.4597745,FKBP1A,4.751036845514341e-13,1.1987265
212,TALDO1,1.8906384113725904e-30,-1.3375491,RHOA,1.7870948175301743e-12,-0.43864155,RAD21,1.251546200001767e-90,2.6555052,PPP1CA,8.198054961901257e-13,1.1610378
213,WDR1,2.2198344429519235e-30,-1.5200614,ARPC5,3.23551257960889e-12,-0.5723166,PSMB6,2.7571502837144814e-90,2.6514902,SYK,9.305531351592528e-13,1.5829937
214,BCAS4,2.2548955378713884e-30,-1.134919,TPD52,3.3368231217776853e-12,-0.6782556,TCEB2,3.9218695176783177e-90,2.3585765,CLTA,9.924643899906884e-13,1.2785504
215,MTDH,2.6857064338626778e-30,-1.007101,SPCS1,3.4612597278521385e-12,0.622349,PSIP1,5.855855773031319e-90,2.5463066,WDR66,1.2820080216092703e-12,3.9719415
216,MS4A1,2.955085057581629e-30,0.5180155,EBLN3P,4.614376390214253e-12,-0.6881507,ILF2,8.371394410250176e-90,2.635942,CSK,1.3541460290023364e-12,1.4904011
217,ACTB,3.0189866887943537e-30,-0.43546212,C12ORF57,4.6457428439622096e-12,-0.7841651,DSTN,2.7247220684144655e-89,3.5470793,HCLS1,1.948416203492168e-12,1.2159374
218,UBL5,3.9503824510980526e-30,-0.9612549,ENO1,5.248309585836689e-12,-0.6057097,CALM2,4.848510888790347e-89,2.0325928,ATP5B,2.0429990561236847e-12,1.20718
219,CHCHD2,4.2811050577679285e-30,-0.7567566,ANP32B,5.87206249534486e-12,-0.4650268,NDUFB3,6.418244357569036e-89,2.4922192,ID2,2.2279940361613948e-12,2.4676101
220,PCBP2,6.449049932388807e-30,-1.0117161,SMC4,5.88811782334898e-12,-1.5894547,USP1,6.419964967810624e-89,2.9302564,SEPT6,2.2823031325831426e-12,1.1703061
221,RCSD1,8.087859106189564e-30,0.66950554,CFL1,6.567937582769238e-12,-0.08308041,CCNA2,6.587304067087347e-89,7.6410127,GPR183,2.345081930055893e-12,-3.0994806
222,SRSF3,8.714246907038009e-30,-0.946388,HIGD2A,6.639896968383611e-12,0.6465949,YBX1,1.8052285710489276e-88,1.6328576,FGD6,2.532665869558436e-12,4.5535545
223,PPP4C,9.354424160227312e-30,-1.2986503,GRN,7.116550105863948e-12,1.5571305,TRAC,6.681812792209711e-88,2.9796345,PSMA4,3.2010172956398665e-12,1.2041249
224,C12ORF75,1.0556601958475186e-29,-2.3445072,CDCA7L,7.978992237720621e-12,-1.4687428,ALDOA,7.37803988054856e-88,2.2765346,TCEB2,3.4207546310417003e-12,1.0490425
225,CD81,1.2594010214817903e-29,-1.6380297,ARPC2,8.041985862616648e-12,-0.2374866,SRSF2,8.244839533603293e-88,2.3757088,USP34,3.422612456051534e-12,1.6772484
226,PTRHD1,1.3478683206878994e-29,-1.5390131,TXNIP,8.059818342349188e-12,0.5853207,SMS,1.5393283135841629e-87,2.9851575,HLA-DRA,3.687910972027621e-12,-0.47950208
227,RBM3,1.448635502254276e-29,-0.9567905,EIF1,1.1673576825187206e-11,0.27658436,EEF1B2,6.106433486939534e-87,-0.89735484,ITGAE,3.7720144038266675e-12,1.2716814
228,BANK1,2.0603865575648234e-29,0.68473506,AREG,1.1929705848310594e-11,1.1049055,NDUFB2,6.307068810095998e-87,2.4126644,LY6E,4.8010950460981715e-12,-3.7843761
229,ATP5J2,2.1898654265500475e-29,-1.0423504,RAC1,1.2091992231401712e-11,-0.7193154,CCNB2,1.1218536110517427e-86,8.372753,CD2BP2,5.758086626711306e-12,1.7227092
230,LCP1,2.3697251240491377e-29,-1.0229248,PFN1,1.3732818947717335e-11,-0.22636312,HMGB3,1.980659159366985e-86,7.1761565,TUFM,6.387405612750072e-12,1.269199
231,PHPT1,3.3756232515614366e-29,-1.7813119,CIB1,1.5065912774036354e-11,0.68990254,ROMO1,2.1990816306804874e-86,2.5999367,LSM8,6.4245078604468735e-12,1.09315
232,GPR183,3.611802338115668e-29,-1.3231517,CD82,1.7377703293946736e-11,1.230604,TMEM106C,2.8193567439240485e-86,4.244609,MRPL51,7.002554791665316e-12,1.1666793
233,HMGN2,4.138629606477989e-29,-0.9377693,CFLAR,1.7819800832536882e-11,1.055941,LCP1,9.742362725922497e-86,2.3996296,SYPL1,8.488632244310608e-12,1.1012748
234,ARL6IP4,4.4132084369785585e-29,-0.9724691,NCL,1.8808802533714955e-11,-0.51323575,COX6C,2.2023271528539295e-85,2.0781295,COX6A1,8.722594284827325e-12,1.0367109
235,PSMB6,4.6523163763029724e-29,-1.359035,VAMP2,1.935060457571266e-11,0.6283157,MRPS6,5.278658763860847e-85,2.4534214,TPI1,9.349911583195602e-12,1.0910774
236,AP3S1,4.811123176408298e-29,-1.2434838,DNMT1,1.9813754806773423e-11,-1.5848904,TXN,9.943015786628464e-85,2.9098086,ARPC4,9.359869178881796e-12,1.1122338
237,NDUFS8,5.937518878498479e-29,-1.3779016,PAPOLA,2.3583705822928553e-11,-0.6715158,HSD17B10,1.146899292645925e-84,2.5103817,RRAS2,9.773040790032887e-12,1.8218491
238,SNU13,6.088983532638549e-29,-0.94740576,CLEC2B,2.6354040843068672e-11,-1.5531739,RNASEH2C,1.5137928671110826e-84,2.4467182,TRAC,1.0219255141901436e-11,1.3749367
239,PPP2CA,6.461809600189851e-29,-1.4135687,HSPA4,3.030502375311251e-11,-0.9552039,BANF1,2.9384970713960846e-84,2.4476175,MTF2,1.1292684025631355e-11,1.4127127
240,SPCS1,7.879829622631054e-29,-0.9353464,ACP5,4.673832312052904e-11,1.289971,ARPC1B,3.3173060020319485e-84,2.2303414,PPP4C,1.1472488663107316e-11,1.348647
241,COX14,9.530811821656831e-29,-1.1071022,SMIM14,5.483707324440379e-11,0.52736735,SSRP1,3.3224994092385855e-84,3.0492313,GNG5,1.1537119780833045e-11,1.1468068
242,C14ORF2,9.547571212128825e-29,-0.9468807,WHSC1L1,6.274410564190514e-11,-0.633034,SLIRP,3.604032677352977e-84,2.6087945,LTB,1.2873176490431717e-11,0.6757712
243,CXCR4,1.0842479380740097e-28,0.4759898,SLA,6.450831599566391e-11,-1.215149,FKBP1A,5.737684343089169e-84,2.4262466,SEC61G,1.5291877958627002e-11,1.1786549
244,ANXA5,1.1245743252856296e-28,-2.0179942,GCSAM,6.473093861354769e-11,-2.364714,ANXA5,1.0426394353168516e-83,2.9783113,LAMTOR5,1.635798969941006e-11,1.0037588
245,TUBB4B,1.3152845402576307e-28,-2.20896,FAM26F,7.108666043063274e-11,-1.0422565,FKBP3,1.7776441994854217e-83,2.6682265,SH3KBP1,1.8178731847058538e-11,1.5246869
246,TBCB,1.5551804239674848e-28,-1.4909539,PSMB9,7.860117107298552e-11,0.5785306,RNASEH2A,3.457341044684151e-83,4.049109,FAM3C,2.5411006795598868e-11,1.5113479
247,NDUFB10,2.0692803608724112e-28,-1.0394113,TACC1,8.385093856977265e-11,-0.96987695,ATP5B,4.792724457250971e-83,2.418061,AL928768.3,2.6005908326660948e-11,1.5571346
248,GNG5,2.0801482650956826e-28,-1.0284879,LDHA,9.369488991173993e-11,-0.9091616,MAGOH,5.429582142489276e-83,2.3327472,NDUFA4,2.762523718146138e-11,0.84741545
249,PSMA5,2.1749316461353643e-28,-1.2820077,BCL2A1,9.60379850880982e-11,1.3384268,NASP,6.051368441546145e-83,2.5323255,HOPX,3.0461549555468797e-11,2.1851456
250,VASP,2.7554211993700907e-28,-1.1923052,MARCH1,1.0763711281632865e-10,0.62826127,POLR2J,8.078216881210376e-83,2.458196,GLRX3,3.346411762045858e-11,1.7570742
251,PARK7,3.5897861918559066e-28,-0.95780206,PSMA4,1.2380109994261273e-10,-0.7186589,PSMA5,1.4758671442526755e-82,2.5296087,VIM,3.715710604415775e-11,-2.3359976
252,C1ORF162,4.041689938162774e-28,2.2262607,EVL,1.2730219433339024e-10,-0.526116,SRP9,1.8373385652419486e-82,2.3570926,ZNF106,3.954658875636534e-11,1.6351874
253,SYNE2,4.335949408695587e-28,-2.8691885,NUSAP1,1.2989979710726384e-10,-4.0151424,ANAPC15,1.966810767735233e-82,3.37827,DCAF12,3.979241478323591e-11,3.6793242
254,RAC2,6.522968729776709e-28,-0.86629534,DDX39A,1.3937315296048632e-10,-1.0392431,GINS2,2.590271346945134e-82,6.5011954,POMP,3.982119170065142e-11,1.0554763
255,PLEKHJ1,8.411744769207814e-28,-1.2738968,EGR1,1.550387432266903e-10,1.7005883,SSNA1,3.932582538436516e-82,2.4917514,EAF2,4.269390020865336e-11,1.2933792
256,ARPC5L,1.1982539270704055e-27,-1.1244745,SNX29,1.6755430524865114e-10,-1.7666401,CENPH,5.051546715720728e-82,3.7183168,FAM49B,4.3998551358089234e-11,1.097658
257,LSM6,1.2693178572665831e-27,-1.0889778,TYMS,1.785684791156651e-10,-8.102976,NUF2,1.6250491301991554e-81,6.589872,ERP44,4.76582234516207e-11,1.4443725
258,CLTA,1.4170126344207e-27,-1.110172,PEBP1,1.915530767304877e-10,0.6160561,CDCA3,2.3644156116654953e-81,8.640833,ITM2B,5.1308626578359085e-11,-1.21268
259,SEC61G,1.5862692540166663e-27,-1.0219655,LSP1,2.1572749748750177e-10,0.57018703,ARHGDIA,2.4376047853943913e-81,2.4770217,MPC2,5.599042416447241e-11,1.3090062
260,NDUFB7,1.6181070839069335e-27,-1.0621239,MCL1,2.25914452503836e-10,0.8890473,NDUFA12,2.717233503954713e-81,2.327463,COPE,5.869253265601243e-11,1.0836529
261,DNMT1,1.6375399082205778e-27,-2.0401633,MIR24-2,2.4314856004687966e-10,1.8382678,CALM1,3.9544877867724217e-81,2.171191,AICDA,7.111739619222896e-11,3.479456
262,HCST,1.9925828292475826e-27,-1.68501,CCDC69,2.455994229752806e-10,-1.1861078,NONO,6.077827936309008e-81,2.275219,NDUFV2,8.575377248391964e-11,1.1670977
263,PPP1CC,2.2996844203275295e-27,-1.1269721,CDK2AP2,3.082667985981097e-10,-1.3383005,PSMD8,6.654870176526756e-81,2.3959012,HMGN2,8.823538905639975e-11,0.8970883
264,MOB1A,3.303725649330759e-27,-0.9878137,MPC2,3.8293334624675604e-10,-0.9161753,TXNL4A,7.325719921862313e-81,2.6391091,RAC1,8.973424594237438e-11,1.0818309
265,HSD17B10,4.1674697068232744e-27,-1.3314586,MKI67,4.4207726926604e-10,-7.029806,PSMC3,8.482123678533365e-81,3.0043347,RBM3,1.1743755941536252e-10,0.9752428
266,ANXA2,4.2822757818803194e-27,-3.4835773,CDCA7,4.682769025348017e-10,-3.8556352,DAZAP1,1.1818844078322104e-80,2.923152,CAPZA1,1.2732075797315568e-10,1.1999933
267,CDV3,4.355837232014034e-27,-1.6301152,CD38,4.864968361668792e-10,-1.3406417,NDUFA2,1.4589724778960104e-80,2.3174736,MRPS36,1.3127567752756772e-10,1.3766361
268,EEF1A1,7.025961438087446e-27,0.24099009,GCHFR,5.245587717427969e-10,-1.6763728,NDUFB1,1.4773103805424873e-80,2.3408415,RANBP2,1.463357320936528e-10,2.4239109
269,NDUFAF3,8.692157135575386e-27,-1.1767435,CD63,5.705324427621602e-10,1.236139,RMI2,1.9487789693711294e-80,3.465242,WDR1,1.734786686280254e-10,1.4455254
270,ETFB,1.4140628225213533e-26,-1.1254985,LPP,5.782325108334274e-10,-1.5228617,HPRT1,1.990416042766006e-80,2.9604707,SIAH2,1.73721591183487e-10,1.2445229
271,SEC11C,1.6566220936502135e-26,-1.4102116,HIPK2,5.80334118565691e-10,2.9196575,SPC25,2.197133772766224e-80,9.645738,BPTF,1.972564686757432e-10,1.201823
272,USMG5,2.3123744570195332e-26,-0.93919706,ATP5E,7.639824764014146e-10,0.43744367,LBR,2.225284948473368e-80,2.5693154,HMGB1,2.3870499013690585e-10,0.49157584
273,ARHGDIA,2.9518778404886334e-26,-1.2567788,NACA,7.770914038728634e-10,0.2052313,STOML2,2.3982419815965362e-80,2.5875154,TUBA1B,2.7746041964354306e-10,-1.2709447
274,RBX1,3.2480876167140976e-26,-0.9868785,DRAM2,9.141767164165351e-10,0.5806101,GLRX3,2.527355211051238e-80,2.849246,HSD17B10,2.796359056258797e-10,1.3805375
275,MRPS36,3.549904632292501e-26,-1.2087468,SNRPB,9.165940614984201e-10,-0.6008434,TPGS2,3.956588917069878e-80,3.3141117,MOB1A,3.390380732991026e-10,1.110135
276,PPM1G,3.8288790734112576e-26,-1.3966179,ATP5F1,9.770513224617883e-10,-0.5474334,RGS13,5.389105357635201e-80,4.3392353,NR3C1,3.400738825884899e-10,1.3634231
277,FAM26F,4.0453464654054015e-26,1.6827166,MRPL51,1.0722939966843566e-09,-0.6761762,STRA13,6.1001334494462435e-80,3.1711755,RAB30,3.419528595371862e-10,1.7993816
278,CD200,4.4082119029172687e-26,3.763892,RFC1,1.093137875435932e-09,-0.8995556,PTP4A2,1.0624832258460331e-79,2.3252587,MYO1E,3.5139717127850535e-10,2.96758
279,SNRPC,4.41979321478894e-26,-1.1319209,RHOB,1.1476163238280731e-09,0.9074899,YEATS4,1.2729359605817165e-79,3.2071373,CAPZB,3.53789061424009e-10,0.98348516
280,GNAI2,4.789217516192586e-26,-1.3423839,SERF2,1.233810950525739e-09,-0.12002208,SUMO3,1.715498223473214e-79,2.4609544,HNRNPA3,3.7003712120001246e-10,0.9706519
281,COX6B1,5.28988767710434e-26,-0.8623234,SMDT1,1.3200989334628202e-09,0.5140705,PSMB7,1.8373247193651825e-79,2.2400455,FOSB,3.773749515155785e-10,-1.8405203
