,scNym_confidence
1327,0.76441723
1328,0.76180273
1329,0.7838914
1330,0.8073044
1331,0.78499883
1332,0.64075315
1333,0.5997979
1334,0.84630907
1335,0.7696177
1336,0.7197759
1337,0.7697276
1338,0.7552216
1339,0.74320495
1340,0.85139316
1341,0.7983051
1342,0.73263735
1343,0.8087211
1344,0.82136184
1345,0.7799821
1346,0.7858934
1347,0.66857916
1348,0.78501713
1349,0.7661542
1350,0.8353445
1351,0.6783109
1352,0.7843742
1353,0.8117691
1354,0.67377704
1355,0.8534395
1356,0.8637421
1357,0.68525195
1358,0.85166585
1359,0.77071947
1360,0.79031104
1361,0.7996705
1362,0.7900908
1363,0.76581484
1364,0.78363675
1365,0.7499237
1366,0.7091509
1367,0.7307851
1368,0.8095895
1369,0.749833
1370,0.7943937
1371,0.85619247
1372,0.76316845
1373,0.77883786
1374,0.7428491
1375,0.77270377
1376,0.8341759
1377,0.7932868
1378,0.6515601
1379,0.73358464
1380,0.7524694
1381,0.7711452
1382,0.7404152
1383,0.78092366
1384,0.6638494
1385,0.76949716
1386,0.81129825
1387,0.81227785
1388,0.7830336
1389,0.7580205
1390,0.8069988
1391,0.85871214
1392,0.7578698
1393,0.8160092
1394,0.76475185
1395,0.8257138
1396,0.72030556
1397,0.5790692
1398,0.62985367
1399,0.730602
1400,0.63964564
1401,0.7346181
1402,0.76699334
1403,0.799388
1404,0.7908394
1405,0.7475341
1406,0.783197
1407,0.67833406
1408,0.7659728
1409,0.71720904
1410,0.80778766
1411,0.7726408
1412,0.82244503
1413,0.8074477
1414,0.5742469
1415,0.8446381
1416,0.78995174
1417,0.77828646
1418,0.7748339
1419,0.79822075
1420,0.85075605
1421,0.7153477
1422,0.77599955
1423,0.7249124
1424,0.7876307
1425,0.7426064
1426,0.7441103
1427,0.7982228
1428,0.73484373
1429,0.8108521
1430,0.7857154
1431,0.7550562
1432,0.7931903
1433,0.7518402
1434,0.7502233
1435,0.7803471
1436,0.73494583
1437,0.8361131
1438,0.79073924
1439,0.76289207
1440,0.78222257
1441,0.803788
1442,0.77304184
1443,0.7671194
1444,0.7455247
1445,0.79963017
1446,0.7000169
1447,0.79843277
1448,0.72375286
1449,0.76613426
1450,0.83455044
1451,0.6186665
1452,0.7508864
1453,0.612121
1454,0.591082
1455,0.8131832
1456,0.7427514
1457,0.8003018
1458,0.72134155
1459,0.72230417
1460,0.7487204
1461,0.8135589
1462,0.83511
1463,0.703417
1464,0.76356673
