"","x"
"1748",2
"1749",0
"1750",3
"1751",1
"1752",6
"1753",3
"1754",2
"1755",1
"1756",2
"1757",4
"1758",1
"1759",3
"1760",2
"1761",4
"1762",8
"1763",0
"1764",2
"1765",8
"1766",4
"1767",0
"1768",5
"1769",2
"1770",5
"1771",0
"1772",3
"1773",2
"1774",2
"1775",5
"1776",4
"1777",2
"1778",7
"1779",8
"1780",2
"1781",3
"1782",3
"1783",8
"1784",0
"1785",3
"1786",2
"1787",6
"1788",8
"1789",3
"1790",3
"1791",4
"1792",1
"1793",0
"1794",1
"1795",4
"1796",4
"1797",4
"1798",5
"1799",6
"1800",8
"1801",6
"1802",8
"1803",3
"1804",7
"1805",1
"1806",5
"1807",3
"1808",3
"1809",2
"1810",0
"1811",2
"1812",0
"1813",2
"1814",0
"1815",5
"1816",3
"1817",0
"1818",3
"1819",0
"1820",6
"1821",8
"1822",3
"1823",7
"1824",1
"1825",7
"1826",5
"1827",5
"1828",0
"1829",4
"1830",3
"1831",0
"1832",0
"1833",5
"1834",1
"1835",0
"1836",3
"1837",0
"1838",7
"1839",2
"1840",1
"1841",1
"1842",4
"1843",2
"1844",6
"1845",1
"1846",0
"1847",8
"1848",7
"1849",0
"1850",7
"1851",3
"1852",2
"1853",6
"1854",0
"1855",1
"1856",3
"1857",7
"1858",5
"1859",5
"1860",1
"1861",5
"1862",5
"1863",7
"1864",2
"1865",0
"1866",1
"1867",1
"1868",2
"1869",4
"1870",6
"1871",2
"1872",3
"1873",1
"1874",1
"1875",3
"1876",2
"1877",0
"1878",3
"1879",2
"1880",6
"1881",1
"1882",4
"1883",5
"1884",3
"1885",4
"1886",8
"1887",8
"1888",0
"1889",4
"1890",0
"1891",1
"1892",1
"1893",0
"1894",1
"1895",4
"1896",6
"1897",2
"1898",1
"1899",6
"1900",3
"1901",0
"1902",1
"1903",0
"1904",4
"1905",4
"1906",6
"1907",5
"1908",0
"1909",1
"1910",3
"1911",2
"1912",6
"1913",4
"1914",1
